Year,No.,Round,Pick,Player,Name,Team,College
2013,15,6,13,181,Latavius Murray,Raiders,Central Florida
2013,16,6,14,182,Kenjon Barner,Panthers,Oregon
2013,17,6,19,187,Andre Ellington,Cardinals,Clemson
2013,18,6,21,189,Mike James,Buccaneers,Miami (FL)
2013,19,6,22,190,Rex Burkhead,Bengals,Nebraska
2013,20,6,26,194,Spencer Ware,Seahawks,Louisiana State
2013,21,6,31,199,Theo Riddick,Lions,Notre Dame
2013,22,6,36,204,Braden Wilson,Chiefs,Kansas State
2013,23,7,9,215,Tommy Bohanon,Jets,Wake Forest
2013,24,7,22,228,Jawan Jamison,Redskins,Rutgers
2013,25,7,24,230,Kerwynn Williams,Colts,Utah State
2013,26,7,47,253,Michael Cox,Giants,Massachusetts
2012,1,1,3,3,Trent Richardson,Browns,Alabama
2012,2,1,31,31,Doug Martin,Buccaneers,Boise State
2012,3,1,32,32,David Wilson,Giants,Virginia Tech
2012,4,2,18,50,Isaiah Pead,Rams,Cincinnati
2012,5,2,29,61,LaMichael James,49ers,Oregon
2012,6,3,4,67,Ronnie Hillman,Broncos,San Diego State
2012,7,3,21,84,Bernard Pierce,Ravens,Temple
2012,8,4,2,97,Lamar Miller,Dolphins,Miami (FL)
2012,9,4,11,106,Robert Turbin,Seahawks,Utah State
2012,10,4,33,128,Rhett Ellison,Vikings,USC
2012,11,5,22,157,Bradie Ewing,Falcons,Wisconsin
2012,12,5,24,159,Chris Rainey,Steelers,Florida
2012,13,5,35,170,Vick Ballard,Colts,Mississippi State
2012,14,6,3,173,Alfred Morris,Redskins,Florida Atlantic
2012,15,6,12,182,Cyrus Gray,Chiefs,Texas A&M
2012,16,6,21,191,Dan Herron,Bengals,Ohio State
2012,17,6,32,202,Terrance Ganaway,Jets,Baylor
2012,18,7,5,212,Michael Smith,Buccaneers,Utah State
2012,19,7,22,229,Bryce Brown,Eagles,Kansas State
2012,20,7,43,250,Edwin Baker,Chargers,Michigan State
2012,21,7,45,252,Daryl Richardson,Rams,Abilene Christian
2011,1,1,28,28,Mark Ingram,Saints,Alabama
2011,2,2,6,38,Ryan Williams,Cardinals,Virginia Tech
2011,3,2,24,56,Shane Vereen,Patriots,California
2011,4,2,25,57,Mikel Leshoure,Lions,Illinois
2011,5,2,30,62,Daniel Thomas,Dolphins,Kansas State
2011,6,3,7,71,Demarco Murray,Cowboys,Oklahoma
2011,7,3,9,73,Stevan Ridley,Patriots,Louisiana State
2011,8,3,32,96,Alex Green,Packers,Hawaii
2011,9,4,8,105,Roy Helu,Redskins,Nebraska
2011,10,4,18,115,Kendall Hunter,49ers,Oklahoma State
2011,11,4,22,119,Delone Carter,Colts,Syracuse
2011,12,4,27,124,Owen Marecic,Browns,Stanford
2011,13,4,28,125,Taiwan Jones,Raiders,Eastern Washington
2011,14,4,29,126,Bilal Powell,Jets,Louisville
2011,15,4,33,130,Jamie Harper,Titans,Clemson
2011,16,5,2,133,Johnny White,Bills,North Carolina
2011,17,5,5,136,Anthony Sherman,Cardinals,Connecticut
2011,18,5,14,145,Jacquizz Rodgers,Falcons,Oregon State
2011,19,5,18,149,Dion Lewis,Eagles,Pittsburgh
2011,20,6,12,177,Evan Royster,Redskins,Penn State
2011,21,6,18,183,Jordan Todman,Chargers,Connecticut
2011,22,6,22,187,Allen Bradford,Buccaneers,USC
2011,23,7,17,220,Shaun Chapas,Cowboys,Georgia
2011,24,7,18,221,Da'Rel Scott,Giants,Maryland
2011,25,7,20,223,Shane Bannon,Chiefs,Yale
2011,26,7,22,225,Anthony Allen,Ravens,Georgia Tech
2011,27,7,29,232,Baron Batch,Steelers,Texas Tech
2011,28,7,37,240,Stanley Havili,Eagles,USC
2011,29,7,43,246,Jay Finlay,Bengals,Baylor
2010,1,1,9,9,C.J. Spiller,Bills,Clemson
2010,2,1,12,12,Ryan Mathews,Chargers,Fresno State
2010,3,1,30,30,Jahvid Best,Lions,California
2010,4,2,4,36,Dexter McCluster,Chiefs,Mississippi
2010,5,2,19,51,Toby Gerhart,Vikings,Stanford
2010,6,2,26,58,Ben Tate,Texans,Auburn
2010,7,2,27,59,Montario Hardesty,Browns,Tennessee
2010,8,4,14,112,Joe McKnight,Jets,USC
2010,9,5,8,139,John Conner,Jets,Kentucky
2010,10,6,4,173,Anthony Dixon,49ers,Mississippi State
2010,11,6,11,180,Deji Karim,Jaguars,Southern Illinois
2010,12,6,19,188,Jonathan Dwyer,Steelers,Georgia Tech
2010,13,6,24,193,James Stark,Packers,Buffalo
2010,14,6,28,197,Trindon Holliday,Texans,Louisiana State
2010,15,6,31,200,Charles Scott,Eagles,Louisiana State
2010,16,7,38,245,Jameson Konz,Seahawks,Kent State
2009,1,1,12,12,Knowshon Moreno,Broncos,Georgia
2009,2,1,27,27,Donald Brown,Colts,Connecticut
2009,3,1,31,31,Beanie Wells,Cardinals,Ohio State
2009,4,2,21,53,LeSean McCoy,Eagles,Pittsburgh
2009,5,3,1,65,Shonn Greene,Jets,Iowa
2009,6,3,10,74,Glen Coffee,49ers,Alabama
2009,7,4,11,111,Mike Goodson,Panthers,Texas A&M
2009,8,4,28,128,Tony Fiammetta,Panthers,Syracuse
2009,9,4,29,129,Andre Brown,Giants,North Carolina State
2009,10,4,34,134,Gartrell Johnson,Chargers,Colorado State
2009,11,5,9,145,Quinn Johnson,Packers,Louisiana State
2009,12,5,33,169,Frank Summers,Steelers,UNLV
2009,13,5,37,173,Javon Ringer,Titans,Michigan State
2009,14,6,12,185,Cedric Peerman,Ravens,Virginia
2009,15,6,19,192,Aaron Brown,Lions,Texas Christian
2009,16,6,22,195,James Davis,Browns,Clemson
2009,17,6,36,209,Bernard Scott,Bengals,Abilene Christian
2009,18,7,2,211,Chris Ogbonnaya,Rams,Texas
2009,19,7,3,212,Javarris Williams,Chiefs,Tennessee State
2009,20,7,6,215,Fui Vakapuna,Bengals,Brigham Young
2009,21,7,31,240,LaRod Stephens-Howling,Cardinals,Pittsburgh
2009,22,7,41,250,Rashad Jennings,Jaguars,Liberty
2008,1,1,4,4,Darren McFadden,Raiders,Arkansas
2008,2,1,13,13,Jonathan Stewart,Panthers,Oregon
2008,3,1,22,22,Felix Jones,Cowboys,Arkansas
2008,4,1,23,23,Rashard Mendenhall,Steelers,Illinois
2008,5,1,24,24,Chris Johnson,Titans,East Carolina
2008,6,2,13,44,Matt Forte,Bears,Tulane
2008,7,2,24,55,Ray Rice,Ravens,Rutgers
2008,8,3,1,64,Kevin Smith,Lions,Central Florida
2008,9,3,6,69,Jacob Hester,Chargers,Louisiana State
2008,10,3,10,73,Jamaal Charles,Chiefs,Texas
2008,11,3,26,89,Steve Slaton,Texans,West Virginia
2008,12,4,23,122,Tashard Choice,Cowboys,Georgia Tech
2008,13,5,4,139,Ryan Torain,Broncos,Arizona State
2008,14,5,11,146,Jerome Felton,Lions,Furman
2008,15,5,14,149,Timothy Hightower,Cardinals,Richmond
2008,16,5,28,163,Owen Schmitt,Seahawks,West Virginia
2008,17,5,31,166,Marcus Thomas,Chargers,Texas-El Paso
2008,18,6,6,172,Thomas Brown,Falcons,Georgia
2008,19,6,10,176,Jalen Parmele,Dolphins,Toledo
2008,20,6,13,179,Xavier Omon,Bills,Northwest Missouri State
2008,21,6,36,202,Mike Hart,Colts,Michigan
2008,22,6,38,204,Lex Hilliard,Dolphins,Montana
2008,23,7,6,213,Chauncey Washington,Jaguars,USC
2008,24,7,20,227,Peyton Hillis,Broncos,Arkansas
2008,25,7,26,233,Justin Forsett,Seahawks,California
2008,26,7,31,238,Cory Boyd,Buccaneers,South Carolina
2008,27,7,33,240,Allen Patrick,Ravens,Oklahoma
2007,1,1,7,7,Adrian Peterson,Vikings,Oklahoma
2007,2,1,12,12,Marshawn Lynch,Bills,California
2007,3,2,17,49,Kenny Irons,Bengals,Auburn
2007,4,2,18,50,Chris Henry,Titans,Arizona
2007,5,2,20,52,Brian Leonard,Rams,Rutgers
2007,6,2,31,63,Brandon Jackson,Packers,Nebraska
2007,7,3,7,71,Lorenzo Booker,Dolphins,Florida State
2007,8,3,27,90,Tony Hunt,Eagles,Penn State
2007,9,3,30,93,Garrett Wolfe,Bears,Northern Illinois
2007,10,4,1,100,Michael Bush,Raiders,Louisville
2007,11,4,8,107,Antonio Pittman,Saints,Ohio State
2007,12,4,12,111,Dwayne Wright,Bills,Fresno State
2007,13,4,38,137,Le'Ron McClain,Ravens,Alabama
2007,14,5,11,148,Kolby Smith,Chiefs,Louisville
2007,15,6,1,175,Oren O'Neal,Raiders,Arkansas State
2007,16,6,7,181,Reagan Maui'a,Dolphins,Hawaii
2007,17,6,12,186,Thomas Clayton,49ers,Kansas State
2007,18,6,21,195,Deon Anderson,Cowboys,Connecticut
2007,19,6,34,208,Justise Hairston,Patriots,Central Connecticut St.
2007,20,7,12,222,Derek Schouman,Bills,Boise State
2007,21,7,18,228,DeShawn Wynn,Packers,Florida
2007,22,7,26,236,Nate Ilaoa,Eagles,Hawaii
2007,23,7,34,244,Jason Snelling,Falcons,Virginia
2007,24,7,36,246,Kenneth Darby,Buccaneers,Alabama
2007,25,7,40,250,Ahmad Bradshaw,Giants,Marshall
2006,1,1,2,2,Reggie Bush,Saints,USC
2006,2,1,21,21,Laurence Maroney,Patriots,Minnesota
2006,3,1,27,27,DeAngelo Williams,Panthers,Memphis
2006,4,1,30,30,Joseph Addai,Colts,Louisiana State
2006,5,2,13,45,LenDale White,Titans,USC
2006,6,2,28,60,Maurice Jones-Drew,Jaguars,UCLA
2006,7,3,10,74,Brian Calhoun,Lions,Wisconsin
2006,8,3,15,79,Jerious Norwood,Falcons,Mississippi State
2006,9,4,3,100,Michael Robinson,49ers,Penn State
2006,10,4,20,117,Leon Washington,Jets,Florida State
2006,11,4,35,132,P.J. Daniels,Ravens,Georgia Tech
2006,12,5,12,145,Jerome Harrison,Browns,Washington State
2006,13,5,31,163,David Kirtman,Seahawks,USC
2006,14,6,1,170,Wali Lundy,Texans,Virginia
2006,15,6,11,180,Lawrence Vickers,Browns,Colorado
2006,16,6,26,195,J.D. Runnels,Bears,Oklahoma
2006,17,7,32,240,Cedric Humes,Steelers,Virginia Tech
2006,18,7,38,246,Quinton Ganther,Titans,Utah
2005,1,1,2,2,Ronnie Brown,Dolphins,Auburn
2005,2,1,4,4,Cedric Benson,Bears,Texas
2005,3,1,5,5,Cadillac Williams,Buccaneers,Auburn
2005,4,2,12,44,J.J. Arrington,Cardinals,California
2005,5,2,22,54,Eric Shelton,Panthers,Louisville
2005,6,3,1,65,Frank Gore,49ers,Miami (FL)
2005,7,3,9,73,Vernand Morency,Texans,Oklahoma State
2005,8,3,13,77,Ryan Moats,Eagles,Louisiana Tech
2005,9,3,37,101,Maurice Clarett,Broncos,Ohio State
2005,10,4,8,109,Marion Barber,Cowboys,Minnesota
2005,11,4,9,110,Brandon Jacobs,Giants,Southern Illinois
2005,12,4,11,112,Ciatrick Fason,Vikings,Florida
2005,13,4,19,120,Manuel White,Redskins,UCLA
2005,14,4,26,127,Alvin Pearman,Jaguars,Virginia
2005,15,4,29,130,Darren Sproles,Chargers,Kansas State
2005,16,5,6,142,Damien Nash,Titans,Missouri
2005,17,5,22,158,Justin Green,Ravens,Montana
2005,18,6,8,182,Cedric Houston,Jets,Tennessee
2005,19,6,27,201,Deandra Cobb,Falcons,Michigan State
2005,20,7,7,221,Rick Razzano,Buccaneers,Mississippi
2005,21,7,8,222,Nehemiah Broughton,Redskins,Citadel
2005,22,7,22,236,Lionel Gates,Bills,Louisville
2005,23,7,29,243,Anthony Davis,Colts,Wisconsin
2005,24,7,30,244,Noah Herron,Steelers,Northwestern
2005,25,7,37,251,Madison Hedgecock,Rams,North Carolina
2004,1,1,24,24,Steven Jackson,Rams,Oregon State
2004,2,1,26,26,Chris Perry,Bengals,Michigan
2004,3,1,30,30,Kevin Jones,Lions,Virginia Tech
2004,4,2,9,41,Tatum Bell,Broncos,Oklahoma State
2004,5,2,11,43,Julius Jones,Cowboys,Notre Dame
2004,6,2,23,55,Greg Jones,Jaguars,Florida State
2004,7,4,23,119,Mewelde Moore,Vikings,Tulane
2004,8,4,32,128,Cedric Cobbs,Patriots,Arkansas
2004,9,5,22,154,Michael Turner,Chargers,Northern Illinois
2004,10,5,24,156,Mike Karney,Saints,Arizona State
2004,11,5,30,162,Thomas Tapeh,Eagles,Minnesota
2004,12,6,26,191,Troy Fleming,Titans,Tennessee
2004,13,7,7,208,Adimchinobe Echemandu,Browns,California
2004,14,7,13,214,Jonathan Smith,Bills,Georgia Tech
2004,15,7,18,219,Quincy Wilson,Falcons,West Virginia
2004,16,7,27,228,Casey Cramer,Buccaneers,Dartmouth
2004,17,7,34,235,Derrick Ward,Jets,Ottawa (KS)
2004,18,7,40,241,Sean McHugh,Titans,Penn State
2004,19,7,41,242,Bruce Perry,Eagles,Maryland
2004,20,7,46,247,Brandon Miree,Broncos,Pittsburgh
2003,1,1,23,23,Willis McGahee,Bills,Miami (FL)
2003,2,1,27,27,Larry Johnson,Chiefs,Penn State
2003,3,3,13,77,Musa Smith,Ravens,Georgia
2003,4,3,21,85,B.J. Askew,Jets,Michigan
2003,5,3,29,93,Chris Brown,Titans,Colorado
2003,6,3,32,96,Justin Fargas,Raiders,USC
2003,7,4,2,99,Artose Pinner,Lions,Kentucky
2003,8,4,4,101,Domanick Davis,Texans,Louisiana State
2003,9,4,8,105,Onterrio Smith,Vikings,Oregon
2003,10,4,11,108,Quentin Griffin,Broncos,Oklahoma
2003,11,4,18,115,Lee Suggs,Browns,Virginia Tech
2003,12,4,21,118,Jeremi Johnson,Bengals,Western Kentucky
2003,13,4,24,121,Justin Griffith,Falcons,Mississippi State
2003,14,4,35,132,LaBrandon Toefield,Jaguars,Louisiana State
2003,15,4,37,134,Ovie Mughelli,Ravens,Wake Forest
2003,16,5,30,165,Chris Davis,Seahawks,Syracuse
2003,17,6,33,206,Brock Forsey,Bears,Boise State
2003,18,7,4,218,Malaefou MacKenzie,Jaguars,USC
2003,19,7,15,229,Andrew Pinnock,Chargers,South Carolina
2003,20,7,21,235,Ahmaad Galloway,Broncos,Alabama
2003,21,7,22,236,Brandon Drumm,Lions,Colorado
2003,22,7,28,242,J.T. Wall,Steelers,Georgia
2003,23,7,33,247,Casey Moore,Panthers,Stanford